variant,size_label,size_bytes,iteration,phase,duration_ns
A_full,1KB,1024,0,t0_t1_validation,435300
A_full,1KB,1024,0,t1_t2_encode,5300
A_full,1KB,1024,0,t2_t3_write,1698500
A_full,1KB,1024,0,t3_t4_rename,0
A_full,1KB,1024,0,t4_t5_audit,39800
A_full,1KB,1024,0,t5_t6_return,1000
A_full,1KB,1024,0,t0_t6_total,2179900
A_full,1KB,1024,1,t0_t1_validation,726400
A_full,1KB,1024,1,t1_t2_encode,5600
A_full,1KB,1024,1,t2_t3_write,1941000
A_full,1KB,1024,1,t3_t4_rename,0
A_full,1KB,1024,1,t4_t5_audit,51900
A_full,1KB,1024,1,t5_t6_return,400
A_full,1KB,1024,1,t0_t6_total,2725300
A_full,1KB,1024,2,t0_t1_validation,553700
A_full,1KB,1024,2,t1_t2_encode,21100
A_full,1KB,1024,2,t2_t3_write,1792900
A_full,1KB,1024,2,t3_t4_rename,0
A_full,1KB,1024,2,t4_t5_audit,54600
A_full,1KB,1024,2,t5_t6_return,600
A_full,1KB,1024,2,t0_t6_total,2422900
A_full,1KB,1024,3,t0_t1_validation,867000
A_full,1KB,1024,3,t1_t2_encode,14300
A_full,1KB,1024,3,t2_t3_write,1817000
A_full,1KB,1024,3,t3_t4_rename,0
A_full,1KB,1024,3,t4_t5_audit,61200
A_full,1KB,1024,3,t5_t6_return,300
A_full,1KB,1024,3,t0_t6_total,2759800
A_full,1KB,1024,4,t0_t1_validation,464800
A_full,1KB,1024,4,t1_t2_encode,11600
A_full,1KB,1024,4,t2_t3_write,1551900
A_full,1KB,1024,4,t3_t4_rename,0
A_full,1KB,1024,4,t4_t5_audit,39600
A_full,1KB,1024,4,t5_t6_return,300
A_full,1KB,1024,4,t0_t6_total,2068200
A_full,1KB,1024,5,t0_t1_validation,313300
A_full,1KB,1024,5,t1_t2_encode,7200
A_full,1KB,1024,5,t2_t3_write,1717000
A_full,1KB,1024,5,t3_t4_rename,0
A_full,1KB,1024,5,t4_t5_audit,30700
A_full,1KB,1024,5,t5_t6_return,400
A_full,1KB,1024,5,t0_t6_total,2068600
A_full,1KB,1024,6,t0_t1_validation,491900
A_full,1KB,1024,6,t1_t2_encode,6600
A_full,1KB,1024,6,t2_t3_write,1424700
A_full,1KB,1024,6,t3_t4_rename,0
A_full,1KB,1024,6,t4_t5_audit,28500
A_full,1KB,1024,6,t5_t6_return,400
A_full,1KB,1024,6,t0_t6_total,1952100
A_full,1KB,1024,7,t0_t1_validation,238900
A_full,1KB,1024,7,t1_t2_encode,14000
A_full,1KB,1024,7,t2_t3_write,1291500
A_full,1KB,1024,7,t3_t4_rename,0
A_full,1KB,1024,7,t4_t5_audit,19100
A_full,1KB,1024,7,t5_t6_return,4400
A_full,1KB,1024,7,t0_t6_total,1567900
A_full,1KB,1024,8,t0_t1_validation,358500
A_full,1KB,1024,8,t1_t2_encode,11600
A_full,1KB,1024,8,t2_t3_write,1378700
A_full,1KB,1024,8,t3_t4_rename,0
A_full,1KB,1024,8,t4_t5_audit,16500
